,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1603882,1357134,SB0248,SB0248,Probation Amendments,Probation Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0248.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0248.pdf
1603883,1356543,SB0249,SB0249,Consumer Privacy Act,Consumer Privacy Act,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0249.json,1,2020-03-06,http://le.utah.gov/~2020/bills/sbillint/SB0249.pdf
1603884,1356964,SB0250,SB0250,Needs Assessment Amendments,Needs Assessment Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0250.json,1,2020-03-06,http://le.utah.gov/~2020/bills/sbillint/SB0250.pdf
1603885,1357160,SB0251,SB0251,Seizure-related Student Accommodations Amendments,Seizure-related Student Accommodations Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0251.json,1,2020-03-06,http://le.utah.gov/~2020/bills/sbillint/SB0251.pdf
1603886,1357049,SB0252,SB0252,Plea Withdrawal Amendments,Plea Withdrawal Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0252.json,1,2020-03-06,http://le.utah.gov/~2020/bills/sbillint/SB0252.pdf
1603887,1357757,SB0253,SB0253,Juvenile Expungement Amendments,Juvenile Expungement Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0253.json,1,2020-03-09,http://le.utah.gov/~2020/bills/sbillint/SB0253.pdf
1603888,1359394,SB0254,SB0254,Local Permitting Amendments,Local Permitting Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0254.json,0,,http://le.utah.gov/~2020/bills/sbillint/SB0254.pdf
1603889,1293082,SCR001,SCR001,Concurrent Resolution Creating the Danger Cave State Monument,Concurrent Resolution Creating the Danger Cave State Monument,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR001.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR001.pdf
1603890,1320645,SCR002,SCR002,Concurrent Resolution Honoring Michael R. Styler,Concurrent Resolution Honoring Michael R. Styler,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR002.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR002.pdf
1603891,1323837,SCR003,SCR003,Concurrent Resolution Honoring Wataru Misaka,Concurrent Resolution Honoring Wataru Misaka,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR003.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR003.pdf
1603892,1326004,SCR004,SCR004,Concurrent Resolution Commemorating the Centennial of the League of Women Voters,Concurrent Resolution Commemorating the Centennial of the League of Women Voters,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR004.json,1,2020-02-03,http://le.utah.gov/~2020/bills/sbillint/SCR004.pdf
1603893,1326905,SCR005,SCR005,Concurrent Resolution Recognizing Utah's National Blue Ribbon Schools,Concurrent Resolution Recognizing Utah's National Blue Ribbon Schools,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR005.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SCR005.pdf
1603894,1332796,SCR006,SCR006,Concurrent Resolution for Study of Local Option Sales Tax,Concurrent Resolution for Study of Local Option Sales Tax,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR006.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR006.pdf
1603895,1338433,SCR007,SCR007,Concurrent Resolution Supporting the Sports Commission,Concurrent Resolution Supporting the Sports Commission,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR007.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR007.pdf
1603896,1349490,SCR008,SCR008,Concurrent Resolution in Support of the Chinese People Regarding the Coronavirus Outbreak,Concurrent Resolution in Support of the Chinese People Regarding the Coronavirus Outbreak,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR008.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SCR008.pdf
