Unnamed: 0,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1589528,1689634,HJR25,HJR25,Removing the deadline for the ratification of the equal rights amendment.,Removing the deadline for the ratification of the equal rights amendment.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR25.json,1,2023-01-31,https://www.congress.gov/118/bills/hjres25/BILLS-118hjres25ih.pdf
1589529,1694105,HJR26,HJR26,Disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act of 2022.,Disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act of 2022.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR26.json,4,2023-03-20,https://www.congress.gov/118/bills/hjres26/BILLS-118hjres26enr.pdf
1589530,1694201,HJR27,HJR27,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to ""Revised Definition of 'Waters of the United States'"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to ""Revised Definition of 'Waters of the United States'"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR27.json,5,2023-04-06,https://www.congress.gov/118/bills/hjres27/BILLS-118hjres27enr.pdf
1589531,1697220,HJR28,HJR28,"Expressing support for designation of the week of February 6, 2023, through February 10, 2023, as ""National School Counseling Week"".","Expressing support for designation of the week of February 6, 2023, through February 10, 2023, as ""National School Counseling Week"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR28.json,1,2023-02-06,https://www.congress.gov/118/bills/hjres28/BILLS-118hjres28ih.pdf
1589532,1699156,HJR29,HJR29,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status With Section 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status With Section 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR29.json,1,2023-02-07,https://www.congress.gov/118/bills/hjres29/BILLS-118hjres29rh.pdf
1589533,1650740,HJR3,HJR3,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR3.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres3/BILLS-118hjres3ih.pdf
1589534,1699140,HJR30,HJR30,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR30.json,5,2023-03-20,https://www.congress.gov/118/bills/hjres30/BILLS-118hjres30enr.pdf
1589535,1699130,HJR31,HJR31,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Veterans Affairs relating to ""Reproductive Health Services"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Veterans Affairs relating to ""Reproductive Health Services"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR31.json,1,2023-02-07,https://www.congress.gov/118/bills/hjres31/BILLS-118hjres31ih.pdf
1589536,1703017,HJR32,HJR32,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR32.json,1,2023-02-09,https://www.congress.gov/118/bills/hjres32/BILLS-118hjres32ih.pdf
1589537,1714855,HJR33,HJR33,To acknowledge the courage and sacrifice of veterans of the Vietnam War and formally apologize for the treatment they received upon returning home.,To acknowledge the courage and sacrifice of veterans of the Vietnam War and formally apologize for the treatment they received upon returning home.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR33.json,1,2023-02-17,https://www.congress.gov/118/bills/hjres33/BILLS-118hjres33ih.pdf
1589538,1714847,HJR34,HJR34,"Expressing the sense of Congress that a woman's ability to travel out of State to receive services available in that State which would otherwise not be available in the State that they reside in, is protected under Article IV of the Constitution.","Expressing the sense of Congress that a woman's ability to travel out of State to receive services available in that State which would otherwise not be available in the State that they reside in, is protected under Article IV of the Constitution.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR34.json,1,2023-02-17,https://www.congress.gov/118/bills/hjres34/BILLS-118hjres34ih.pdf
1589539,1717617,HJR35,HJR35,Proposing an amendment to the Constitution of the United States to require individuals to demonstrate cognitive competence as a condition of holding the office of President or Vice President.,Proposing an amendment to the Constitution of the United States to require individuals to demonstrate cognitive competence as a condition of holding the office of President or Vice President.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR35.json,1,2023-02-21,https://www.congress.gov/118/bills/hjres35/BILLS-118hjres35ih.pdf
1589540,1724962,HJR36,HJR36,Proposing a balanced budget amendment to the Constitution of the United States.,Proposing a balanced budget amendment to the Constitution of the United States.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR36.json,1,2023-03-01,https://www.congress.gov/118/bills/hjres36/BILLS-118hjres36ih.pdf
